run_number,date,run_mode,url_file,total_urls_processed,total_documents_captured,new_diff_records,issue_count,success_zero_docs_count,fetch_failed_status_count,fetch_error_count,browser_fallback_enabled,output_file,raw_file,issues_file
1,2026-05-23 17:22:29,test,test_urls.csv,11,289,0,1,0,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
2,2026-05-23 17:36:11,full,documents_p2.csv,66,2223,881,4,2,0,2,True,output.csv,raw_links.csv,capture_issues.csv
3,2026-05-24 06:30:05,seed,documents_p2.csv,66,2223,0,6,2,1,3,True,output.csv,raw_links.csv,capture_issues.csv
4,2026-05-24 08:20:02,test,test_urls.csv,6,55,0,2,1,1,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
5,2026-05-24 11:38:17,full,documents_p2.csv,66,2214,0,5,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
6,2026-05-24 14:16:09,test,test_urls.csv,6,55,0,2,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
7,2026-05-24 15:18:11,test,test_urls.csv,1,3,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
8,2026-05-24 19:11:09,test,test_urls.csv,1,3,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
9,2026-05-24 19:51:29,test,test_urls.csv,1,13,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
10,2026-05-25 06:04:48,test,test_urls.csv,7,406,0,1,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
11,2026-05-25 06:52:14,test,test_urls.csv,1,23,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
12,2026-05-25 07:13:05,test,test_urls.csv,1,23,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
13,2026-05-25 07:21:20,test,test_urls.csv,1,23,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
14,2026-05-25 09:24:52,test,test_urls.csv,1,380,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
15,2026-05-25 10:37:11,test,test_urls.csv,1,412,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
16,2026-05-25 10:56:42,test,test_urls.csv,2,212,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
17,2026-05-25 11:20:34,test,test_urls.csv,2,212,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
18,2026-05-25 13:36:50,test,documents_p2.csv,66,1799,0,2,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
19,2026-05-25 16:13:20,full,documents_p2.csv,66,1767,25,3,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
20,2026-05-26 03:27:17,full,documents_p2.csv,66,1733,0,4,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
21,2026-05-26 06:42:07,full,documents_p2.csv,66,1735,2,4,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
22,2026-05-26 13:02:58,full,documents_p2.csv,66,2214,482,4,1,1,2,True,output.csv,raw_links.csv,capture_issues.csv
23,2026-05-28 06:47:47,test,test_urls.csv,11,292,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
24,2026-05-28 07:59:33,test,test_urls.csv,11,269,0,1,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
25,2026-05-28 08:09:58,test,test_urls.csv,1,25,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
26,2026-05-28 10:52:46,test,test_urls.csv,1,103,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
27,2026-05-28 11:43:17,test,test_urls.csv,11,372,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
28,2026-05-28 12:59:13,full,documents_p2.csv,66,2059,299,2,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
29,2026-05-28 15:34:41,test,test_urls.csv,1,0,0,1,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
30,2026-05-29 11:01:03,test,test_urls.csv,1,13,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
31,2026-05-29 11:31:56,full,documents_p1.csv,11,372,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
32,2026-05-29 12:04:04,full,documents_p2.csv,66,2053,3,3,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
33,2026-05-29 14:58:23,test,test_urls.csv,1,102,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
34,2026-05-29 15:52:47,test,test_urls.csv,1,53,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
35,2026-05-29 18:44:10,test,test_urls.csv,1,5,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
36,2026-05-29 19:38:07,test,test_urls.csv,1,5,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
37,2026-05-29 20:04:28,test,test_urls.csv,1,5,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
38,2026-05-29 20:14:08,test,test_urls.csv,1,36,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
39,2026-05-29 23:52:35,full,documents_p1.csv,11,372,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
40,2026-05-30 06:40:31,test,test_urls.csv,1,31,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
41,2026-05-30 07:50:54,test,test_urls.csv,1,6,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
42,2026-05-30 08:59:17,test,test_urls.csv,1,6,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
43,2026-05-30 10:37:10,full,documents_p2.csv,66,2059,16,2,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
44,2026-05-30 14:01:53,test,test_urls.csv,1,6,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
45,2026-05-30 14:15:05,test,test_urls.csv,1,36,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
46,2026-05-30 19:14:19,test,test_urls.csv,15,1085,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
47,2026-05-30 22:41:44,full,documents_p1.csv,11,372,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
48,2026-05-31 08:29:14,full,documents_p2.csv,66,2050,1,3,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
49,2026-06-01 07:35:05,test,test_urls.csv,15,1085,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
50,2026-06-01 10:11:31,test,test_urls.csv,15,1085,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
51,2026-06-01 23:07:55,full,documents_p1.csv,11,372,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
52,2026-06-01 23:19:31,full,documents_p2.csv,66,2060,16,2,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
53,2026-06-02 19:00:24,full,documents_p1.csv,11,372,0,0,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
54,2026-06-02 19:12:31,full,documents_p2.csv,66,2045,4,3,0,0,0,True,output.csv,raw_links.csv,capture_issues.csv
55,2026-06-03 10:17:54,test,test_urls.csv,1,30,0,0,0,0,0,True,output_test.csv,raw_links_test.csv,capture_issues_test.csv
